rank,word,length,language
1675,sold,4,english
1677,credit,6,english
1678,chosen,6,english
1679,hoped,5,english
1680,printed,7,english
1681,terror,6,english
1682,features,8,english
1683,fond,4,english
1684,control,7,english
1685,capable,7,english
1686,fifteen,7,english
1688,firm,4,english
1689,superior,8,english
1690,cruel,5,english
1691,spiritual,9,english
1692,Harry,5,english
1693,splendid,8,english
1694,proof,5,english
1695,pressed,7,english
1696,sooner,6,english
1697,join,4,english
1698,process,7,english
1699,crime,5,english
1700,dust,4,english
1701,instantly,9,english
1702,lands,5,english
1703,relation,8,english
1704,doors,5,english
1705,concerned,9,english
1706,deeply,6,english
1707,practical,9,english
1708,colour,6,english
1709,sing,4,english
1710,destroy,7,english
1711,anger,5,english
1712,distributing,12,english
1713,results,7,english
1714,increase,8,english
1715,reasons,7,english
1716,nose,4,english
1717,friendly,8,english
1718,entrance,8,english
1719,rooms,5,english
1720,admit,5,english
1721,supply,6,english
1722,clean,5,english
1723,useful,6,english
1724,yesterday,9,english
1725,delicate,8,english
1726,fail,4,english
1727,continue,8,english
1728,remove,6,english
1729,addressed,9,english
1730,choice,6,english
1731,huge,4,english
1732,needs,5,english
1733,wear,4,english
1734,blind,5,english
1735,unable,6,english
1736,cover,5,english
1737,double,6,english
1738,victory,7,english
1739,dozen,5,english
1740,constantly,10,english
1741,level,5,english
1742,India,5,english
1743,release,7,english
1744,rough,5,english
1745,ended,5,english
1746,shows,5,english
1748,praise,6,english
1749,devil,5,english
1750,ahead,5,english
1751,smith,5,english
1752,connected,9,english
1753,degrees,7,english
1754,gain,4,english
1755,addition,8,english
1756,committed,9,english
1757,chamber,7,english
1758,notes,5,english
1759,Italian,7,english
1760,gradually,9,english
1761,acquaintance,12,english
1762,bought,6,english
1763,souls,5,english
1764,mission,7,english
1765,sacrifice,9,english
1766,cities,6,english
1767,mistake,7,english
1768,exercise,8,english
1769,conscience,10,english
1770,based,5,english
1772,buried,6,english
1773,theory,6,english
1774,commanded,9,english
1775,nobody,6,english
1776,minister,8,english
1777,closely,7,english
1778,energy,6,english
1779,dick,4,english
1780,bare,4,english
1781,fought,6,english
1782,partly,6,english
1783,mistress,8,english
1784,hate,4,english
1785,arose,5,english
1786,playing,7,english
1787,color,5,english
1788,lake,4,english
1789,safety,6,english
1790,provisions,10,english
1791,description,11,english
1792,asleep,6,english
1793,centre,6,english
1794,faint,5,english
1795,thinks,6,english
1796,parents,7,english
1797,escaped,7,english
1798,careful,7,english
1799,enjoy,5,english
1800,drop,4,english
1801,brilliant,9,english
1802,brief,5,english
1803,bringing,8,english
1804,worship,7,english
1805,goods,5,english
1806,tale,4,english
1807,skin,4,english
1808,roof,4,english
1809,grey,4,english
1810,highly,6,english
1811,crown,5,english
1812,castle,6,english
1813,excited,7,english
1814,throne,6,english
1815,stated,6,english
1816,despair,7,english
1817,ease,4,english
1818,attached,8,english
1819,total,5,english
1820,kindness,8,english
1821,mile,4,english
1822,citizens,8,english
1823,circle,6,english
1824,dull,4,english
1825,extreme,7,english
1826,clouds,6,english
1827,figures,7,english
1828,intention,9,english
1829,prison,6,english
1830,term,4,english
1831,assured,7,english
1832,hidden,6,english
1833,thoroughly,10,english
1835,member,6,english
1836,civil,5,english
1837,apply,5,english
1838,labor,5,english
1839,everywhere,10,english
1840,intelligence,12,english
1841,strike,6,english
1842,fairly,6,english
1843,comply,6,english
1844,fellows,7,english
1846,event,5,english
1847,gently,6,english
1848,connection,10,english
1849,protection,10,english
1850,conscious,9,english
1851,edition,7,english
1852,directed,8,english
1853,pulled,6,english
1854,flight,6,english
1855,evident,7,english
1856,surrounded,10,english
1857,wishes,6,english
1858,yards,5,english
1859,voices,6,english
1860,weary,5,english
1861,couple,6,english
1862,variety,7,english
1863,whilst,6,english
1864,volume,6,english
1865,details,7,english
1866,older,5,english
1867,requirements,12,english
1868,custom,6,english
1869,apart,5,english
1871,awful,5,english
1872,everybody,9,english
1873,labour,6,english
1874,asking,6,english
1875,lover,5,english
1876,showing,7,english
1877,introduced,10,english
1878,suit,4,english
1879,becoming,8,english
1880,composed,8,english
1881,plans,5,english
1882,rendered,8,english
1883,pictures,8,english
1884,lest,4,english
1885,volunteers,10,english
1886,singing,7,english
1887,eager,5,english
1888,precious,8,english
1889,paused,6,english
1890,require,7,english
1891,meat,4,english
1892,whenever,8,english
1893,milk,4,english
1894,dogs,4,english
1895,successful,10,english
1896,plants,6,english
1897,vision,6,english
1898,rare,4,english
1899,granted,7,english
1900,raise,5,english
1901,Egypt,5,english
1902,manners,7,english
1903,cousin,6,english
1905,development,11,english
1906,Arthur,6,english
1908,cool,4,english
1909,trial,5,english
1910,learning,8,english
1911,approached,10,english
1912,bridge,6,english
1913,abroad,6,english
1914,devoted,7,english
1915,paying,6,english
1916,literary,8,english
1917,writer,6,english
1919,Israel,6,english
1920,disappeared,11,english
1921,interrupted,11,english
1922,stock,5,english
1923,readers,7,english
1924,dreadful,8,english
1925,female,6,english
1926,protect,7,english
1927,accustomed,10,english
1928,Virginia,8,english
1929,type,4,english
1930,recognized,10,english
1931,salt,4,english
1932,destroyed,9,english
1933,signs,5,english
1934,innocent,8,english
1935,temper,6,english
1936,plenty,6,english
1937,pope,4,english
1938,avoid,5,english
1939,hurried,7,english
1940,represented,11,english
1941,favor,5,english
1942,mental,6,english
1943,attitude,8,english
1944,returning,9,english
1945,admiration,10,english
1946,brothers,8,english
1947,anxiety,7,english
1948,queen,5,english
1949,teach,5,english
1950,count,5,english
1951,curiosity,9,english
1952,solemn,6,english
1953,causes,6,english
1954,vessels,7,english
1955,compelled,9,english
1956,dance,5,english
1957,hotel,5,english
1958,wicked,6,english
1959,fled,4,english
1960,kissed,6,english
1961,guns,4,english
1962,fill,4,english
1963,visible,7,english
1964,younger,7,english
1965,guide,5,english
1966,earnest,7,english
1967,actual,6,english
1968,companions,10,english
1969,prisoner,8,english
1970,miserable,9,english
1972,harm,4,english
1973,views,5,english
1974,Irish,5,english
1975,utterly,7,english
1976,ends,4,english
1977,shop,4,english
1978,stairs,6,english
1979,pardon,6,english
1982,seldom,6,english
1983,kinds,5,english
1984,record,6,english
1986,sand,4,english
1987,violent,7,english
1988,branches,8,english
1989,inquired,8,english
1991,September,9,english
1992,worn,4,english
1993,Ireland,7,english
1994,flat,4,english
1995,departure,9,english
1996,delivered,9,english
1997,gift,4,english
1998,ruin,4,english
1999,skill,5,english
2000,cattle,6,english
2001,equipment,9,english
2002,temple,6,english
2003,calls,5,english
2004,earlier,7,english
2005,license,7,english
2006,visited,7,english
2008,consent,7,english
2009,sufficiently,12,english
2010,natives,7,english
2011,wound,5,english
2012,laughter,8,english
2013,contained,9,english
2014,perceived,9,english
2015,scattered,9,english
2016,whence,6,english
2017,rushed,6,english
2018,chiefly,7,english
2019,bold,4,english
2020,anywhere,8,english
2021,witness,7,english
2022,foolish,7,english
2023,helped,6,english
2024,kitchen,7,english
2025,sell,4,english
2026,anybody,7,english
2027,self,4,english
2028,extremely,9,english
2029,treatment,9,english
2030,throat,6,english
2031,dreams,6,english
2032,patient,7,english
2033,speed,5,english
2034,growth,6,english
2035,quantity,8,english
2036,Latin,5,english
2037,immense,7,english
2038,conclusion,10,english
2039,computer,8,english
2040,affected,8,english
2041,severe,6,english
2042,excuse,6,english
2043,triumph,7,english
2044,origin,6,english
2045,Joseph,6,english
2046,slept,5,english
2047,eternal,7,english
2048,thine,5,english
2049,audience,8,english
2050,pages,5,english
2051,sounds,6,english
2052,swift,5,english
2053,limited,7,english
2054,wings,5,english
2055,stepped,7,english
2056,services,8,english
2057,library,7,english
2058,remaining,9,english
2059,containing,10,english
2060,base,4,english
2061,confusion,9,english
2063,maid,4,english
2064,charming,8,english
2065,editions,8,english
2066,attended,8,english
2067,softly,6,english
2068,reality,7,english
2069,performed,9,english
2070,glorious,8,english
2071,likewise,8,english
2072,site,4,english
2073,sail,4,english
2074,frightened,10,english
2075,acquainted,10,english
2076,unhappy,7,english
2077,feared,6,english
2078,article,7,english
2079,prisoners,9,english
2080,store,5,english
2081,adopted,7,english
2082,shalt,5,english
2083,remark,6,english
2084,cook,4,english
2085,thousands,9,english
2086,pause,5,english
2087,inclined,8,english
2088,convinced,9,english
2089,band,4,english
2090,valuable,8,english
2091,hence,5,english
2092,desert,6,english
2093,effects,7,english
2094,kiss,4,english
2095,plant,5,english
2097,ball,4,english
2098,stick,5,english
2099,absolute,8,english
2100,readily,7,english
2101,behold,6,english
2102,fierce,6,english
2103,argument,8,english
2104,observe,7,english
2105,blessed,7,english
2106,bosom,5,english
2107,rage,4,english
2108,striking,8,english
2109,discovery,9,english
2110,creatures,9,english
2111,shouted,7,english
2112,guilty,6,english
2113,related,7,english
2114,setting,7,english
2115,forgot,6,english
2116,punishment,10,english
2118,slightly,8,english
2119,articles,8,english
2120,police,6,english
2121,mysterious,10,english
2122,extended,8,english
2123,confess,7,english
2124,shade,5,english
2125,murder,6,english
2126,emotion,7,english
2127,destruction,11,english
2128,wondered,8,english
2129,increasing,10,english
2130,hide,4,english
2131,expedition,10,english
2132,horror,6,english
2133,local,5,english
2134,expenses,8,english
2135,ignorant,8,english
2136,doctrine,8,english
2137,generous,8,english
2138,range,5,english
2139,host,4,english
2141,cloud,5,english
2142,mystery,7,english
2144,waste,5,english
2145,changes,7,english
2146,possess,7,english
2147,consciousness,13,english
2148,February,8,english
2149,trembling,9,english
2150,disease,7,english
2151,formerly,8,english
2152,spend,5,english
2153,production,10,english
2154,source,6,english
2155,mankind,7,english
2156,universal,9,english
2157,deck,4,english
2158,sees,4,english
2159,habits,6,english
2160,estate,6,english
2161,aunt,4,english
2162,reign,5,english
2163,humble,6,english
2164,compliance,10,english
2165,delay,5,english
2166,shining,7,english
2167,reported,8,english
2168,hers,4,english
2169,unfortunate,11,english
2170,midnight,8,english
2171,listening,9,english
2172,flower,6,english
2173,hero,4,english
2174,accomplished,12,english
2175,doth,4,english
2176,classes,7,english
2177,thanks,6,english
2178,banks,5,english
2179,philosophy,10,english
2180,belong,6,english
2181,finger,6,english
2182,comfortable,11,english
2183,market,6,english
2185,waves,5,english
2187,glanced,7,english
2188,troubled,8,english
2189,difficulties,12,english
2190,picked,6,english
2191,European,8,english
2192,purposes,8,english
2193,somewhere,9,english
2194,delighted,9,english
2195,pushed,6,english
2196,press,5,english
2197,household,9,english
2198,fleet,5,english
2199,baby,4,english
2200,region,6,english
2201,lately,6,english
2202,uttered,7,english
2203,exact,5,english
2204,image,5,english
2205,ages,4,english
2206,murmured,8,english
2207,melancholy,10,english
2208,suspicion,9,english
2209,bowed,5,english
2210,refuse,6,english
2211,Elizabeth,9,english
2212,staff,5,english
18,para,4,spanish
22,como,4,spanish
25,pero,4,spanish
32,sobre,5,spanish
33,este,4,spanish
35,entre,5,spanish
36,cuando,6,spanish
37,todo,4,spanish
38,esta,4,spanish
48,hasta,5,spanish
49,desde,5,spanish
52,porque,6,spanish
59,puede,5,spanish
60,todos,5,spanish
64,parte,5,spanish
65,tiene,5,spanish
68,donde,5,spanish
69,bien,4,spanish
70,tiempo,6,spanish
71,mismo,5,spanish
73,ahora,5,spanish
74,cada,4,spanish
76,vida,4,spanish
77,otro,4,spanish
80,otros,5,spanish
81,aunque,6,spanish
84,hace,4,spanish
85,otra,4,spanish
86,gobierno,8,spanish
88,durante,7,spanish
89,siempre,7,spanish
91,tanto,5,spanish
92,ella,4,spanish
93,tres,4,spanish
95,dijo,4,spanish
96,sido,4,spanish
97,gran,4,spanish
100,menos,5,spanish
101,mundo,5,spanish
103,antes,5,spanish
104,estado,6,spanish
105,contra,6,spanish
106,sino,4,spanish
107,forma,5,spanish
108,caso,4,spanish
109,nada,4,spanish
110,hacer,5,spanish
111,general,7,spanish
112,estaba,6,spanish
113,poco,4,spanish
114,estos,5,spanish
115,presidente,10,spanish
116,mayor,5,spanish
117,ante,4,spanish
118,unos,4,spanish
120,algo,4,spanish
121,hacia,5,spanish
122,casa,4,spanish
123,ellos,5,spanish
124,ayer,4,spanish
125,hecho,5,spanish
126,primera,7,spanish
127,mucho,5,spanish
128,mientras,8,spanish
130,quien,5,spanish
131,momento,7,spanish
132,millones,8,spanish
133,esto,4,spanish
135,hombre,6,spanish
137,pues,4,spanish
139,lugar,5,spanish
140,madrid,6,spanish
141,nacional,8,spanish
142,trabajo,7,spanish
143,otras,5,spanish
144,mejor,5,spanish
145,nuevo,5,spanish
146,decir,5,spanish
147,algunos,7,spanish
148,entonces,8,spanish
149,todas,5,spanish
151,debe,4,spanish
154,casi,4,spanish
155,toda,4,spanish
157,luego,5,spanish
158,pasado,6,spanish
159,primer,6,spanish
160,medio,5,spanish
162,estas,5,spanish
165,nunca,5,spanish
166,poder,5,spanish
169,veces,5,spanish
170,embargo,7,spanish
171,partido,7,spanish
172,personas,8,spanish
173,grupo,5,spanish
174,cuenta,6,spanish
175,pueden,6,spanish
176,tienen,6,spanish
177,misma,5,spanish
178,nueva,5,spanish
179,cual,4,spanish
180,fueron,6,spanish
181,mujer,5,spanish
182,frente,6,spanish
184,tras,4,spanish
185,cosas,5,spanish
187,ciudad,6,spanish
189,social,6,spanish
190,manera,6,spanish
191,tener,5,spanish
192,sistema,7,spanish
194,historia,8,spanish
195,muchos,6,spanish
196,juan,4,spanish
197,tipo,4,spanish
198,cuatro,6,spanish
199,dentro,6,spanish
200,nuestro,7,spanish
201,punto,5,spanish
202,dice,4,spanish
203,ello,4,spanish
204,cualquier,9,spanish
205,noche,5,spanish
207,agua,4,spanish
208,parece,6,spanish
209,haber,5,spanish
211,fuera,5,spanish
212,bajo,4,spanish
213,grandes,7,spanish
214,nuestra,7,spanish
215,ejemplo,7,spanish
216,acuerdo,7,spanish
218,usted,5,spanish
219,estados,7,spanish
220,hizo,4,spanish
221,nadie,5,spanish
223,horas,5,spanish
224,posible,7,spanish
225,tarde,5,spanish
227,importante,10,spanish
228,guerra,6,spanish
229,desarrollo,10,spanish
230,proceso,7,spanish
231,realidad,8,spanish
232,sentido,7,spanish
233,lado,4,spanish
236,cambio,6,spanish
238,mano,4,spanish
239,eran,4,spanish
240,estar,5,spanish
243,sociedad,8,spanish
244,unas,4,spanish
245,centro,6,spanish
246,padre,5,spanish
247,gente,5,spanish
248,final,5,spanish
250,cuerpo,6,spanish
251,obra,4,spanish
252,incluso,7,spanish
255,madre,5,spanish
257,modo,4,spanish
258,problemas,9,spanish
259,cinco,5,spanish
260,carlos,6,spanish
261,hombres,7,spanish
263,ojos,4,spanish
264,muerte,6,spanish
265,nombre,6,spanish
266,algunas,7,spanish
268,mujeres,7,spanish
269,siglo,5,spanish
271,meses,5,spanish
273,esos,4,spanish
274,nosotros,8,spanish
275,hora,4,spanish
276,muchas,6,spanish
277,pueblo,6,spanish
278,alguna,6,spanish
280,problema,8,spanish
284,derecho,7,spanish
285,verdad,6,spanish
287,unidos,6,spanish
290,junto,5,spanish
291,cabeza,6,spanish
292,aquel,5,spanish
293,luis,4,spanish
294,cuanto,6,spanish
295,tierra,6,spanish
296,equipo,6,spanish
297,segundo,7,spanish
298,director,8,spanish
299,dicho,5,spanish
300,cierto,6,spanish
301,casos,5,spanish
302,manos,5,spanish
303,nivel,5,spanish
305,familia,7,spanish
306,largo,5,spanish
307,partir,6,spanish
308,falta,5,spanish
309,llegar,6,spanish
310,propio,6,spanish
311,ministro,8,spanish
312,cosa,4,spanish
313,primero,7,spanish
314,seguridad,9,spanish
315,hemos,5,spanish
317,trata,5,spanish
319,tuvo,4,spanish
320,respecto,8,spanish
321,semana,6,spanish
322,varios,6,spanish
323,real,4,spanish
326,paso,4,spanish
329,quienes,7,spanish
330,proyecto,8,spanish
331,mercado,7,spanish
334,claro,5,spanish
337,pesetas,7,spanish
338,orden,5,spanish
340,buena,5,spanish
341,quiere,6,spanish
342,aquella,7,spanish
343,programa,8,spanish
344,palabras,8,spanish
345,internacional,13,spanish
347,esas,4,spanish
348,segunda,7,spanish
349,empresa,7,spanish
350,puesto,6,spanish
352,propia,6,spanish
354,libro,5,spanish
355,igual,5,spanish
357,persona,7,spanish
359,ellas,5,spanish
360,total,5,spanish
361,creo,4,spanish
362,tengo,5,spanish
363,dios,4,spanish
366,condiciones,11,spanish
368,fuerza,6,spanish
369,solo,4,spanish
372,amor,4,spanish
374,puerta,6,spanish
375,pesar,5,spanish
376,zona,4,spanish
377,sabe,4,spanish
378,calle,5,spanish
379,interior,8,spanish
380,tampoco,7,spanish
383,vista,5,spanish
384,campo,5,spanish
385,buen,4,spanish
386,hubiera,7,spanish
387,saber,5,spanish
388,obras,5,spanish
392,presencia,9,spanish
393,tema,4,spanish
394,dinero,6,spanish
396,antonio,7,spanish
397,servicio,8,spanish
398,hijo,4,spanish
400,ciento,6,spanish
401,estoy,5,spanish
402,hablar,6,spanish
404,minutos,7,spanish
406,camino,6,spanish
407,seis,4,spanish
409,fondo,5,spanish
411,papel,5,spanish
413,barcelona,9,spanish
414,idea,4,spanish
415,especial,8,spanish
416,diferentes,10,spanish
417,dado,4,spanish
418,base,4,spanish
419,capital,7,spanish
420,ambos,5,spanish
421,europa,6,spanish
422,libertad,8,spanish
423,relaciones,10,spanish
424,espacio,7,spanish
425,medios,6,spanish
427,actual,6,spanish
429,empresas,8,spanish
430,estudio,7,spanish
431,salud,5,spanish
432,servicios,9,spanish
433,haya,4,spanish
434,principio,9,spanish
435,siendo,6,spanish
436,cultura,7,spanish
437,anterior,8,spanish
438,alto,4,spanish
439,media,5,spanish
440,mediante,8,spanish
441,primeros,8,spanish
442,arte,4,spanish
444,sector,6,spanish
445,imagen,6,spanish
446,medida,6,spanish
447,deben,5,spanish
448,datos,5,spanish
449,consejo,7,spanish
450,personal,8,spanish
452,julio,5,spanish
453,grupos,6,spanish
454,miembros,8,spanish
455,ninguna,7,spanish
456,existe,6,spanish
457,cara,4,spanish
458,edad,4,spanish
460,movimiento,10,spanish
461,visto,5,spanish
463,puntos,6,spanish
464,actividad,9,spanish
465,bueno,5,spanish
469,joven,5,spanish
470,futuro,6,spanish
471,aquellos,8,spanish
473,pronto,6,spanish
476,nuevos,6,spanish
477,nuestros,8,spanish
478,estaban,7,spanish
479,posibilidad,11,spanish
480,sigue,5,spanish
481,cerca,5,spanish
482,resultados,10,spanish
486,capacidad,9,spanish
487,efecto,6,spanish
488,necesario,9,spanish
489,valor,5,spanish
490,aire,4,spanish
492,siguiente,9,spanish
493,figura,6,spanish
494,central,7,spanish
495,comunidad,9,spanish
496,necesidad,9,spanish
497,serie,5,spanish
499,nuevas,6,spanish
500,calidad,7,spanish
503,jefe,4,spanish
504,estamos,7,spanish
505,prensa,6,spanish
506,control,7,spanish
507,sociales,8,spanish
508,universidad,11,spanish
509,militar,7,spanish
510,cabo,4,spanish
511,diez,4,spanish
512,fuerzas,7,spanish
513,congreso,8,spanish
515,hijos,5,spanish
516,justicia,8,spanish
517,mundial,7,spanish
519,juego,5,spanish
522,duda,4,spanish
523,recursos,8,spanish
525,crisis,6,spanish
527,tenemos,7,spanish
529,varias,6,spanish
530,popular,7,spanish
531,tenido,6,spanish
532,apenas,6,spanish
534,banco,5,spanish
535,presente,8,spanish
536,menor,5,spanish
537,quiero,6,spanish
538,pasar,5,spanish
539,resultado,9,spanish
541,encuentra,9,spanish
542,gracias,7,spanish
543,ministerio,10,spanish
544,conjunto,8,spanish
545,defensa,7,spanish
546,alguien,7,spanish
547,queda,5,spanish
548,hacen,5,spanish
549,pasa,4,spanish
550,resto,5,spanish
551,causa,5,spanish
552,seguir,6,spanish
554,palabra,7,spanish
556,cuya,4,spanish
557,vamos,5,spanish
559,estudios,8,spanish
560,derechos,8,spanish
561,importancia,11,spanish
562,cuales,6,spanish
563,contrario,9,spanish
564,manuel,6,spanish
566,fuerte,6,spanish
569,apoyo,5,spanish
571,civil,5,spanish
572,miguel,6,spanish
573,pedro,5,spanish
574,partidos,8,spanish
575,libre,5,spanish
576,fuentes,7,spanish
579,dejar,5,spanish
580,cine,4,spanish
581,salir,5,spanish
584,experiencia,11,spanish
585,demasiado,9,spanish
586,plan,4,spanish
587,respuesta,9,spanish
589,izquierda,9,spanish
591,principal,9,spanish
592,superior,8,spanish
593,naturaleza,10,spanish
594,podemos,7,spanish
596,especialmente,13,spanish
598,domingo,7,spanish
599,favor,5,spanish
600,cantidad,8,spanish
601,elecciones,10,spanish
602,clase,5,spanish
603,productos,9,spanish
605,conocer,7,spanish
606,teatro,6,spanish
607,importantes,11,spanish
608,evitar,6,spanish
609,color,5,spanish
610,actividades,11,spanish
611,mesa,4,spanish
614,cuyo,4,spanish
615,debido,6,spanish
616,alta,4,spanish
617,francisco,9,spanish
618,secretario,10,spanish
619,objeto,6,spanish
623,natural,7,spanish
624,elementos,9,spanish
625,hubo,4,spanish
626,objetivo,8,spanish
627,formas,6,spanish
629,pueda,5,spanish
630,origen,6,spanish
631,blanco,6,spanish
632,mismos,6,spanish
633,lleva,5,spanish
636,ayuda,5,spanish
637,oficial,7,spanish
638,silencio,8,spanish
639,buenos,6,spanish
640,pensar,6,spanish
643,sangre,6,spanish
644,encuentro,9,spanish
645,siquiera,8,spanish
646,autor,5,spanish
648,haciendo,8,spanish
649,suelo,5,spanish
650,muestra,7,spanish
651,viejo,5,spanish
652,encima,6,spanish
653,resulta,7,spanish
654,tomar,5,spanish
655,bastante,8,spanish
656,siete,5,spanish
657,lucha,5,spanish
658,pudo,4,spanish
659,amigos,6,spanish
662,pocos,5,spanish
663,medidas,7,spanish
664,norte,5,spanish
665,partes,6,spanish
666,iglesia,7,spanish
667,tratamiento,11,spanish
668,existencia,10,spanish
669,cargo,5,spanish
670,grande,6,spanish
672,boca,4,spanish
673,plaza,5,spanish
675,trabajadores,12,spanish
676,poner,5,spanish
677,existen,7,spanish
678,viene,5,spanish
679,permite,7,spanish
681,argentina,9,spanish
682,acto,4,spanish
683,hechos,6,spanish
684,tiempos,7,spanish
686,radio,5,spanish
687,puedo,5,spanish
688,crecimiento,11,spanish
689,francia,7,spanish
691,amigo,5,spanish
692,autoridades,11,spanish
693,realizar,8,spanish
694,acciones,8,spanish
695,padres,6,spanish
696,diario,6,spanish
698,derecha,7,spanish
699,ambiente,8,spanish
702,precisamente,12,spanish
703,enfermedad,10,spanish
704,especie,7,spanish
706,santa,5,spanish
707,cambios,7,spanish
710,seguro,6,spanish
711,espera,6,spanish
712,momentos,8,spanish
713,viaje,5,spanish
715,ocho,4,spanish
716,vivir,5,spanish
719,escuela,7,spanish
720,cuarto,6,spanish
721,valores,7,spanish
725,baja,4,spanish
727,principales,11,spanish
728,fernando,8,spanish
729,metros,6,spanish
730,marcha,6,spanish
732,consecuencia,12,spanish
733,conocimiento,12,spanish
736,estructura,10,spanish
737,efectos,7,spanish
738,finalmente,10,spanish
739,modelo,6,spanish
740,carta,5,spanish
743,miedo,5,spanish
744,mayores,7,spanish
745,entrada,7,spanish
746,humanos,7,spanish
747,sean,4,spanish
748,actitud,7,spanish
749,deja,4,spanish
752,llevar,6,spanish
753,negro,5,spanish
754,texto,5,spanish
755,mitad,5,spanish
756,estuvo,6,spanish
757,alrededor,9,spanish
758,acerca,6,spanish
759,peso,4,spanish
760,humano,6,spanish
762,fecha,5,spanish
764,doctor,6,spanish
765,ideas,5,spanish
766,vino,4,spanish
767,materia,7,spanish
768,llega,5,spanish
769,carrera,7,spanish
770,cierta,6,spanish
771,sola,4,spanish
772,psoe,4,spanish
773,lejos,5,spanish
774,juez,4,spanish
776,riesgo,6,spanish
778,diferencia,10,spanish
779,cultural,8,spanish
780,libros,6,spanish
782,mayo,4,spanish
783,nuestras,8,spanish
784,programas,9,spanish
785,memoria,7,spanish
786,llegado,7,spanish
787,plazo,5,spanish
789,diciembre,9,spanish
790,mantener,8,spanish
791,enero,5,spanish
792,volver,6,spanish
793,cuadro,6,spanish
794,producto,8,spanish
795,produce,7,spanish
796,europea,7,spanish
797,conciencia,10,spanish
800,felipe,6,spanish
802,chile,5,spanish
803,precio,6,spanish
805,puerto,6,spanish
806,fuego,5,spanish
809,costa,5,spanish
810,supuesto,8,spanish
811,local,5,spanish
812,habla,5,spanish
813,aspectos,8,spanish
814,cuba,4,spanish
815,sala,4,spanish
817,vuelta,6,spanish
819,mirada,6,spanish
820,mejores,7,spanish
821,informe,7,spanish
822,unidad,6,spanish
823,distintos,9,spanish
824,suerte,6,spanish
825,tales,5,spanish
826,mira,4,spanish
827,llamado,7,spanish
831,principios,10,spanish
832,octubre,7,spanish
836,encontrar,9,spanish
837,democracia,10,spanish
838,aumento,7,spanish
840,prueba,6,spanish
841,consumo,7,spanish
842,pese,4,spanish
843,ocasiones,9,spanish
844,exterior,8,spanish
847,hija,4,spanish
850,capaz,5,spanish
852,industria,9,spanish
853,adelante,8,spanish
854,salida,6,spanish
855,ciencia,7,spanish
856,asunto,6,spanish
858,puso,4,spanish
859,intereses,9,spanish
862,pregunta,8,spanish
864,entrar,6,spanish
867,santiago,8,spanish
868,dolor,5,spanish
869,zonas,5,spanish
870,comercio,8,spanish
872,tribunal,8,spanish
873,instituciones,13,spanish
874,temas,5,spanish
875,militares,9,spanish
876,junio,5,spanish
877,marco,5,spanish
878,sectores,8,spanish
879,hacerlo,7,spanish
880,aspecto,7,spanish
881,razones,7,spanish
882,contenido,9,spanish
883,juicio,6,spanish
884,electoral,9,spanish
885,considera,9,spanish
887,mucha,5,spanish
888,voluntad,8,spanish
889,dicen,5,spanish
890,recuerdo,8,spanish
891,socialista,10,spanish
893,aparece,7,spanish
895,cama,4,spanish
897,presenta,8,spanish
900,busca,5,spanish
901,abril,5,spanish
903,fiscal,6,spanish
905,victoria,8,spanish
906,violencia,9,spanish
907,primeras,8,spanish
909,armas,5,spanish
912,esfuerzo,8,spanish
913,humana,6,spanish
914,posibilidades,13,spanish
915,centros,7,spanish
916,profesional,11,spanish
917,asimismo,8,spanish
918,grado,5,spanish
920,toma,4,spanish
921,distintas,9,spanish
922,material,8,spanish
923,carne,5,spanish
924,llama,5,spanish
925,particular,10,spanish
926,jorge,5,spanish
927,trabajar,8,spanish
928,propuesta,9,spanish
929,muerto,6,spanish
930,precios,7,spanish
931,reforma,7,spanish
932,hermano,7,spanish
933,corte,5,spanish
935,etapa,5,spanish
936,obstante,8,spanish
937,pone,4,spanish
938,diversos,8,spanish
939,visita,6,spanish
940,concepto,8,spanish
941,pacientes,9,spanish
942,semanas,7,spanish
943,tipos,5,spanish
944,solamente,9,spanish
945,deseo,5,spanish
946,sistemas,8,spanish
947,encuentran,10,spanish
948,siguientes,10,spanish
950,suficiente,10,spanish
951,marzo,5,spanish
952,propios,7,spanish
955,club,4,spanish
956,instituto,9,spanish
958,curso,5,spanish
959,lenguaje,8,spanish
960,estilo,6,spanish
961,rosa,4,spanish
962,imposible,9,spanish
963,pablo,5,spanish
964,buscar,6,spanish
965,peor,4,spanish
966,piel,4,spanish
967,arriba,6,spanish
968,generales,9,spanish
969,septiembre,10,spanish
970,blanca,6,spanish
972,aquellas,8,spanish
974,animales,8,spanish
975,hicieron,8,spanish
976,larga,5,spanish
977,perdido,7,spanish
979,paciente,8,spanish
980,conseguir,9,spanish
982,noviembre,9,spanish
985,hospital,8,spanish
986,diversas,8,spanish
987,rafael,6,spanish
988,vuelve,6,spanish
989,destino,7,spanish
990,torno,5,spanish
991,proyectos,9,spanish
992,flores,6,spanish
993,niveles,7,spanish
997,somos,5,spanish
999,premio,6,spanish
1000,tercera,7,spanish
1001,simple,6,spanish
1002,trabajos,8,spanish
1003,factores,8,spanish
1004,fuente,6,spanish
1005,cielo,5,spanish
1006,ambas,5,spanish
1007,mismas,6,spanish
1009,actualmente,11,spanish
1010,conocido,8,spanish
1012,ejercicio,9,spanish
1013,cree,4,spanish
1015,ocurre,6,spanish
1018,lengua,6,spanish
1019,responsabilidad,15,spanish
1020,digo,4,spanish
